total_bill,tip,sex,smoker,day,time,size,revenue,demand,price,elasticity,optimized_demand,optimized_revenue,customer_id
16.31,2.0,Male,No,Sat,Dinner,3,16.31,3,5.4366666666666665,-0.8953862308266293,2.7313841307520113,14.849625057521768,36
16.93,3.07,Female,No,Sat,Dinner,3,16.93,3,5.6433333333333335,-1.102327885993616,2.6693016342019154,15.06375888901281,37
18.69,2.31,Male,No,Sat,Dinner,3,18.69,3,6.23,-0.5157669734878431,2.845269907953647,17.72603152655122,38
31.27,5.0,Male,No,Sat,Dinner,3,31.27,3,10.423333333333334,-0.7598475062603987,2.7720457481218803,28.893956847923732,39
16.04,2.24,Male,No,Sat,Dinner,3,16.04,3,5.346666666666667,-1.0779617651552211,2.676611470453434,14.310949328691025,40
17.46,2.54,Male,No,Sun,Dinner,2,17.46,2,8.73,-0.7048230898887298,1.859035382022254,16.229378885054278,41
13.94,3.06,Male,No,Sun,Dinner,2,13.94,2,6.97,-1.1656114788847816,1.7668777042230437,12.315137598434614,42
9.68,1.32,Male,No,Sun,Dinner,2,9.68,2,4.84,-0.2906795979212179,1.9418640804157565,9.398622149212262,43
30.4,5.6,Male,No,Sun,Dinner,4,30.4,4,7.6,-0.941220018399983,3.623511992640007,27.53869114406405,44
18.29,3.0,Male,No,Sun,Dinner,2,18.29,2,9.145,-0.537477715646018,1.8925044568707965,17.306953258083432,45
22.23,5.0,Male,No,Sun,Dinner,2,22.23,2,11.115,-0.888288923910589,1.822342215217882,20.25533372214676,46
32.4,6.0,Male,No,Sun,Dinner,4,32.4,4,8.1,-0.6799319788221891,3.7280272084711243,30.197020388616107,47
28.55,2.05,Male,No,Sun,Dinner,3,28.55,3,9.516666666666667,-0.6532897206567203,2.804013083802984,26.684857847525066,48
18.04,3.0,Male,No,Sun,Dinner,2,18.04,2,9.02,-1.015145544474473,1.7969708911051054,16.20867743776805,49
12.54,2.5,Male,No,Sun,Dinner,2,12.54,2,6.27,-0.2304153722354414,1.9539169255529116,12.251059123216756,50
10.29,2.6,Female,No,Sun,Dinner,2,10.29,2,5.145,-0.4248671766388854,1.9150265646722229,9.852811675238586,51
34.81,5.2,Female,No,Sun,Dinner,4,34.81,4,8.7025,-0.26050105843581084,3.8957995766256754,33.903195815584944,52
9.94,1.56,Male,No,Sun,Dinner,2,9.94,2,4.97,-0.30517264957235113,1.9389654700855297,9.636658386325083,53
25.56,4.34,Male,No,Sun,Dinner,4,25.56,4,6.39,-0.6021000211889148,3.759159991524434,24.02103234584113,54
19.49,3.51,Male,No,Sun,Dinner,2,19.49,2,9.745,-0.2781257649768831,1.9443748470046234,18.94793288406005,55
38.01,3.0,Male,Yes,Sat,Dinner,4,38.01,4,9.5025,-1.1115074979480806,3.5553970008207676,33.78516000029934,56
26.41,1.5,Female,No,Sat,Dinner,2,26.41,2,13.205,-1.0040171375808549,1.799196572483829,23.758390739648963,57
11.24,1.76,Male,Yes,Sat,Dinner,2,11.24,2,5.62,-1.154772711089462,1.7690454577821075,9.942035472735444,58
48.27,6.73,Male,No,Sat,Dinner,4,48.27,4,12.0675,-0.8746696692367356,3.6501321323053055,44.04796950659428,59
20.29,3.21,Male,Yes,Sat,Dinner,2,20.29,2,10.145,-0.811322710310518,1.8377354579378964,18.643826220779957,60
13.81,2.0,Male,Yes,Sat,Dinner,2,13.81,2,6.905,-0.928650968226104,1.8142698063547793,12.527533012879752,61
11.02,1.98,Male,Yes,Sat,Dinner,2,11.02,2,5.51,-0.3712624908480706,1.9257475018303858,10.610868735085425,62
18.29,3.76,Male,Yes,Sat,Dinner,4,18.29,4,4.5725,-0.8432466733064107,3.662701330677436,16.747701834522573,63
17.59,2.64,Male,No,Sat,Dinner,3,17.59,3,5.863333333333333,-0.9190654903126192,2.7242803529062143,15.973363802540103,64
20.08,3.15,Male,No,Sat,Dinner,3,20.08,3,6.6933333333333325,-0.6573039168417515,2.8028088249474745,18.76013373498176,65
16.45,2.47,Female,No,Sat,Dinner,2,16.45,2,8.225,-1.0590757750252373,1.7881848449949524,14.707820350083484,66
3.07,1.0,Female,Yes,Sat,Dinner,1,3.07,1,3.07,-0.3978030192459603,0.960219698075404,2.94787447309149,67
20.23,2.01,Male,No,Sat,Dinner,2,20.23,2,10.115,-1.125449356320229,1.774910128735954,17.953215952164175,68
15.01,2.09,Male,Yes,Sat,Dinner,2,15.01,2,7.505,-0.21311306339948266,1.9573773873201035,14.690117291837376,69
12.02,1.97,Male,No,Sat,Dinner,2,12.02,2,6.01,-0.42775523070334254,1.9144489538593314,11.50583821269458,70
17.07,3.0,Female,No,Sat,Dinner,3,17.07,3,5.69,-1.0012843184658275,2.699614704460252,15.360807668378834,71
26.86,3.14,Female,Yes,Sat,Dinner,2,26.86,2,13.43,-1.1944778828763976,1.7611044234247204,23.651632406593993,72
25.28,5.0,Female,Yes,Sat,Dinner,2,25.28,2,12.64,-0.3845385715451658,1.923092285690967,24.30788649113382,73
14.73,2.2,Female,No,Sat,Dinner,2,14.73,2,7.365,-0.49314265615238284,1.9013714687695233,14.00360086748754,74
10.51,1.25,Male,No,Sat,Dinner,2,10.51,2,5.255,-0.47099283195901265,1.9058014336081974,10.014986533611077,75
17.92,3.08,Male,Yes,Sat,Dinner,2,17.92,2,8.96,-0.4287296533140542,1.9142540693371892,17.151716461261216,76
27.2,4.0,Male,No,Thur,Lunch,4,27.2,4,6.8,-1.1259553482659097,3.549617860693636,24.137401452716723,77
22.76,3.0,Male,No,Thur,Lunch,2,22.76,2,11.38,-0.8415342714557273,1.8316931457088546,20.844667998166766,78
17.29,2.71,Male,No,Thur,Lunch,2,17.29,2,8.645,-1.0841309404748702,1.783173811905026,15.41553760391895,79
19.44,3.0,Male,Yes,Thur,Lunch,2,19.44,2,9.72,-0.33689657412440643,1.9326206851751186,18.785073059902153,80
16.66,3.4,Male,No,Thur,Lunch,2,16.66,2,8.33,-0.576701873172442,1.8846596253655117,15.699214679294712,81
10.07,1.83,Female,No,Thur,Lunch,1,10.07,1,10.07,-0.8691019751473508,0.913089802485265,9.194814311026619,82
32.68,5.0,Male,Yes,Thur,Lunch,2,32.68,2,16.34,-1.1364416497139764,1.7727116700572048,28.966108688734725,83
15.98,2.03,Male,No,Thur,Lunch,2,15.98,2,7.99,-0.8890176782843378,1.8221964643431323,14.559349750101628,84
34.83,5.17,Female,No,Thur,Lunch,4,34.83,4,8.7075,-0.8748166779732529,3.6500733288106986,31.783013510619156,85
13.03,2.0,Male,No,Thur,Lunch,2,13.03,2,6.515,-0.4703938216619359,1.9059212356676127,12.417076850374496,86
18.28,4.0,Male,No,Thur,Lunch,2,18.28,2,9.14,-0.5624425286447868,1.8875114942710427,17.251855057637332,87
24.71,5.85,Male,No,Thur,Lunch,2,24.71,2,12.355,-0.3127872574236734,1.9374425485152653,23.937102686906105,88
21.16,3.0,Male,No,Thur,Lunch,2,21.16,2,10.58,-0.7277850748380507,1.8544429850323898,19.620006781642683,89
28.97,3.0,Male,Yes,Fri,Dinner,2,28.97,2,14.485,-1.0804057540616983,1.7839188491876603,25.840064530483257,90
22.49,3.5,Male,No,Fri,Dinner,2,22.49,2,11.245,-0.48675521277700495,1.902648957444599,21.395287526464514,91
5.75,1.0,Female,Yes,Fri,Dinner,2,5.75,2,2.875,-0.4392149513831025,1.9121570097233795,5.497451402954717,92
16.32,4.3,Female,Yes,Fri,Dinner,2,16.32,2,8.16,-0.6387228024305037,1.8722554395138993,15.277604386433419,93
22.75,3.25,Female,No,Fri,Dinner,2,22.75,2,11.375,-0.42903282004543897,1.9141934359909123,21.773950334396627,94
40.17,4.73,Male,Yes,Fri,Dinner,4,40.17,4,10.0425,-0.7062044036356092,3.717518238545756,37.33317691059576,95
27.28,4.0,Male,Yes,Fri,Dinner,2,27.28,2,13.64,-0.6772671706180059,1.8645465658763989,25.432415158554083,96
12.03,1.5,Male,Yes,Fri,Dinner,2,12.03,2,6.015,-0.7724589816414503,1.8455082036717099,11.100731845085335,97
21.01,3.0,Male,Yes,Fri,Dinner,2,21.01,2,10.505,-1.1745808732559047,1.765083825348819,18.542205585289345,98
12.46,1.5,Male,No,Fri,Dinner,2,12.46,2,6.23,-1.0921085730066955,1.7815782853986608,11.099232718033658,99
11.35,2.5,Female,Yes,Fri,Dinner,2,11.35,2,5.675,-1.1685708143132656,1.7662858371373469,10.023672125754443,100
15.38,3.0,Female,Yes,Fri,Dinner,2,15.38,2,7.69,-0.5635895887362196,1.887282082252756,14.513199212523695,101
44.3,2.5,Female,Yes,Sat,Dinner,3,44.3,3,14.766666666666666,-0.8856440189236733,2.734306794322898,40.376596996168125,102
22.42,3.48,Female,Yes,Sat,Dinner,2,22.42,2,11.21,-0.6914293088352972,1.8617141382329405,20.869815489591264,103
20.92,4.08,Female,No,Sat,Dinner,2,20.92,2,10.46,-0.29243352607390694,1.9415132947852185,20.308229063453386,104
15.36,1.64,Male,Yes,Sat,Dinner,2,15.36,2,7.68,-0.950707770851125,1.809858445829775,13.899712863972672,105
20.49,4.06,Male,Yes,Sat,Dinner,2,20.49,2,10.245,-0.7896170769643702,1.8420765846071259,18.872074609300004,106
25.21,4.29,Male,Yes,Sat,Dinner,2,25.21,2,12.605,-0.4444488614569513,1.9111102277086098,24.08954442026703,107
18.24,3.76,Male,No,Sat,Dinner,2,18.24,2,9.12,-0.9712018345083775,1.8057596330983245,16.468527853856717,108
14.31,4.0,Female,Yes,Sat,Dinner,2,14.31,2,7.155,-1.1230200901712069,1.7753959819657585,12.702958250965002,109
14.0,3.0,Male,No,Sat,Dinner,2,14.0,2,7.0,-0.9102485470862319,1.8179502905827536,12.725652034079275,110
7.25,1.0,Female,No,Sat,Dinner,1,7.25,1,7.25,-1.0387787127459955,0.8961221287254004,6.496885433259153,111
38.07,4.0,Male,No,Sun,Dinner,3,38.07,3,12.69,-0.2703023476574269,2.918909295702772,37.040958962468174,112
23.95,2.55,Male,No,Sun,Dinner,2,23.95,2,11.975,-0.391879620435583,1.9216240759128833,23.011448309056778,113
25.71,4.0,Female,No,Sun,Dinner,3,25.71,3,8.57,-0.5665962434895765,2.830021126953127,24.2532810579883,114
17.31,3.5,Female,No,Sun,Dinner,2,17.31,2,8.655,-0.32853940981228225,1.9342921180375436,16.741298281614938,115
29.93,5.07,Male,No,Sun,Dinner,4,29.93,4,7.4825,-0.3963279231008855,3.841468830759646,28.74379052615905,116
10.65,1.5,Female,No,Thur,Lunch,2,10.65,2,5.325,-1.013429941113964,1.7973140117772073,9.57069711271363,117
12.43,1.8,Female,No,Thur,Lunch,2,12.43,2,6.215,-0.3074410015100222,1.9385117996979955,12.047850835123041,118
24.08,2.92,Female,No,Thur,Lunch,4,24.08,4,6.02,-0.6606577580843492,3.7357368967662605,22.489136118532887,119
11.69,2.31,Male,No,Thur,Lunch,2,11.69,2,5.845,-0.3925598448359374,1.9214880310328124,11.231097541386788,120
13.42,1.68,Female,No,Thur,Lunch,2,13.42,2,6.71,-0.3039087000765067,1.9392182599846985,13.012154524497328,121
14.26,2.5,Male,No,Thur,Lunch,2,14.26,2,7.13,-0.8819965250281361,1.8236006949943728,13.002272955309879,122
15.95,2.0,Male,No,Thur,Lunch,2,15.95,2,7.975,-1.0899480754723232,1.7820103849055353,14.211532819621643,123
12.48,2.52,Female,No,Thur,Lunch,2,12.48,2,6.24,-0.9720648374580583,1.8055870325083883,11.266863082852343,124
29.8,4.2,Female,No,Thur,Lunch,6,29.8,6,4.966666666666667,-0.7728922113737436,5.536264673175754,27.496781210106246,125
8.52,1.48,Male,No,Thur,Lunch,2,8.52,2,4.26,-0.38198523407750684,1.9236029531844987,8.194548580565964,126
14.52,2.0,Female,No,Thur,Lunch,2,14.52,2,7.26,-0.3392694167436565,1.9321461166512688,14.02738080688821,127
11.38,2.0,Female,No,Thur,Lunch,2,11.38,2,5.69,-1.1930478694688094,1.761390426106238,10.022311524544495,128
22.82,2.18,Male,No,Thur,Lunch,3,22.82,3,7.6066666666666665,-0.6892526974224342,2.7932241907732696,21.247125344482004,129
19.08,1.5,Male,No,Thur,Lunch,2,19.08,2,9.54,-0.782588996851221,1.8434822006297558,17.586820194007867,130
20.27,2.83,Female,No,Thur,Lunch,2,20.27,2,10.135,-0.9778921895292697,1.804421562094146,18.28781253182417,131
11.17,1.5,Female,No,Thur,Lunch,2,11.17,2,5.585,-1.0801346326663173,1.7839730734667365,9.963489615311723,132
12.26,2.0,Female,No,Thur,Lunch,2,12.26,2,6.13,-0.862384828596372,1.8275230342807256,11.202716200140848,133
18.26,3.25,Female,No,Thur,Lunch,2,18.26,2,9.13,-0.2570902960874808,1.9485819407825038,17.79055311934426,134
8.51,1.25,Female,No,Thur,Lunch,2,8.51,2,4.255,-0.8767970679792447,1.824640586404151,7.763845695149662,135
10.33,2.0,Female,No,Thur,Lunch,2,10.33,2,5.165,-0.6812093782566339,1.8637581243486732,9.626310712260898,136
14.15,2.0,Female,No,Thur,Lunch,2,14.15,2,7.075,-0.4969810411048221,1.9006037917790355,13.446771826836676,137
16.0,2.0,Male,Yes,Thur,Lunch,2,16.0,2,8.0,-0.836370397620706,1.8327259204758588,14.66180736380687,138
13.16,2.75,Female,No,Thur,Lunch,2,13.16,2,6.58,-0.22821791727903928,1.9543564165441922,12.859665220860785,139
17.47,3.5,Female,No,Thur,Lunch,2,17.47,2,8.735,-0.23755270505788872,1.9524894589884223,17.05499542426387,140
34.3,6.7,Male,No,Thur,Lunch,6,34.3,6,5.716666666666666,-0.9482177041746358,5.431069377495218,31.04761327468099,141
41.19,5.0,Male,No,Thur,Lunch,5,41.19,5,8.238,-0.7027514941076145,4.648624252946193,38.29536659577074,142
27.05,5.0,Female,No,Thur,Lunch,6,27.05,6,4.508333333333334,-0.8991216901832303,5.460526985890062,24.617875828054363,143
16.43,2.3,Female,No,Thur,Lunch,2,16.43,2,8.215,-0.9151595056225323,1.8169680988754935,14.926392932262178,144
8.35,1.5,Female,No,Thur,Lunch,2,8.35,2,4.175,-1.1631130526454672,1.7673773894709066,7.378800601041035,145
18.64,1.36,Female,No,Thur,Lunch,3,18.64,3,6.213333333333334,-0.5904356660201031,2.822869300193969,17.53942791853853,146
11.87,1.63,Female,No,Thur,Lunch,2,11.87,2,5.935,-0.6973209767711385,1.8605358046457723,11.042280000572658,147
9.78,1.73,Male,No,Thur,Lunch,2,9.78,2,4.89,-1.1485212487500105,1.7702957502499979,8.656746218722489,148
7.51,2.0,Male,No,Thur,Lunch,2,7.51,2,3.755,-0.9213535357633885,1.8157292928473223,6.818063494641695,149
14.07,2.5,Male,No,Sun,Dinner,2,14.07,2,7.035,-0.29173411403334626,1.9416531771933307,13.659530101555083,150
13.13,2.0,Male,No,Sun,Dinner,2,13.13,2,6.565,-0.9604381093330275,1.8079123781333946,11.868944762445736,151
17.26,2.74,Male,No,Sun,Dinner,3,17.26,3,5.753333333333334,-1.0551051279087769,2.683468461627367,15.438888549229453,152
24.55,2.0,Male,No,Sun,Dinner,4,24.55,4,6.1375,-0.7105472397224369,3.7157811041110254,22.80560652648142,153
19.77,2.0,Male,No,Sun,Dinner,4,19.77,4,4.9425,-0.21434954588939925,3.91426018164424,19.346230947776657,154
29.85,5.14,Female,No,Sun,Dinner,5,29.85,5,5.970000000000001,-0.9579447284884995,4.52102763575575,26.99053498546183,155
48.17,5.0,Male,No,Sun,Dinner,6,48.17,6,8.028333333333334,-0.5278644525941214,5.6832813284435275,45.62727693185413,156
25.0,3.75,Female,No,Sun,Dinner,4,25.0,4,6.25,-0.4383803846712824,3.8246478461314872,23.904049038321794,157
13.39,2.61,Female,No,Sun,Dinner,2,13.39,2,6.695,-0.9623624560076003,1.80752750879848,12.101396671405823,158
16.49,2.0,Male,No,Sun,Dinner,4,16.49,4,4.1225,-0.4717836513881404,3.811286539444744,15.712028758860955,159
21.5,3.5,Male,No,Sun,Dinner,4,21.5,4,5.375,-0.8322168672807467,3.6671132530877015,19.710733735346395,160
12.66,2.5,Male,No,Sun,Dinner,2,12.66,2,6.33,-0.5676941694064205,1.8864611661187158,11.941299181531472,161
16.21,2.0,Female,No,Sun,Dinner,3,16.21,3,5.403333333333333,-0.5664702892391053,2.8300589132282683,15.29175166114341,162
13.81,2.0,Male,No,Sun,Dinner,2,13.81,2,6.905,-0.6642253159252415,1.8671549368149516,12.89270483870724,163
17.51,3.0,Female,Yes,Sun,Dinner,2,17.51,2,8.755,-1.1097102299455917,1.7780579540108816,15.56689738736527,164
24.52,3.48,Male,No,Sun,Dinner,3,24.52,3,8.173333333333334,-0.364697504410762,2.8905907486767712,23.625761719184812,165
20.76,2.24,Male,No,Sun,Dinner,2,20.76,2,10.38,-0.8792199350282641,1.8241560129943473,18.934739414881324,166
31.71,4.5,Male,No,Sun,Dinner,4,31.71,4,7.9275,-1.0134814896001458,3.594607404159942,28.49625019647794,167
10.59,1.61,Female,Yes,Sat,Dinner,2,10.59,2,5.295,-1.159224858445236,1.7681550283109528,9.362380874906496,168
10.63,2.0,Female,Yes,Sat,Dinner,2,10.63,2,5.315,-0.6091070568117581,1.8781785886376483,9.9825191986091,169
50.81,10.0,Male,Yes,Sat,Dinner,3,50.81,3,16.936666666666667,-0.5224356381577175,2.8432693085526846,48.15550452252064,170
15.81,3.16,Male,Yes,Sat,Dinner,2,15.81,2,7.905,-1.1834121710721437,1.7633175657855713,13.939025357534941,171
7.25,5.15,Male,Yes,Sun,Dinner,2,7.25,2,3.625,-0.687906941700719,1.8624186116598562,6.751267467266979,172
31.85,3.18,Male,Yes,Sun,Dinner,2,31.85,2,15.925,-0.973504224802062,1.8052991550395876,28.749389044005433,173
16.82,4.0,Male,Yes,Sun,Dinner,2,16.82,2,8.41,-0.5548272095905501,1.88903455808189,15.886780633468694,174
32.9,3.11,Male,Yes,Sun,Dinner,2,32.9,2,16.45,-1.0256335709950086,1.7948732858009984,29.52566555142642,175
17.89,2.0,Male,Yes,Sun,Dinner,2,17.89,2,8.945,-0.509062261897534,1.8981875476204932,16.979287613465313,176
14.48,2.0,Male,Yes,Sun,Dinner,2,14.48,2,7.24,-0.8132646536994625,1.8373470692601075,13.302392781443178,177
9.6,4.0,Female,Yes,Sun,Dinner,2,9.6,2,4.8,-0.26327001126326544,1.9473459977473468,9.347260789187265,178
34.63,3.55,Male,Yes,Sun,Dinner,2,34.63,2,17.315,-1.0624790558540067,1.7875041888291987,30.950635029577576,179
34.65,3.68,Male,Yes,Sun,Dinner,4,34.65,4,8.6625,-0.8589336489497414,3.6564265404201035,31.673794906389144,180
23.33,5.65,Male,Yes,Sun,Dinner,2,23.33,2,11.665,-1.0865264787594109,1.7826947042481178,20.795133725054292,181
45.35,3.5,Male,Yes,Sun,Dinner,3,45.35,3,15.116666666666667,-0.2753063817214372,2.9174080854835687,44.10148555889328,182
23.17,6.5,Male,Yes,Sun,Dinner,4,23.17,4,5.7925,-0.32266064661901894,3.8709357413523926,22.422395281783736,183
40.55,3.0,Male,Yes,Sun,Dinner,2,40.55,2,20.275,-0.9420583722848443,1.8115883255430312,36.729953300384956,184
20.69,5.0,Male,No,Sun,Dinner,5,20.69,5,4.138,-0.5400159539658209,4.72999202301709,19.57270699124472,185
20.9,3.5,Female,Yes,Sun,Dinner,3,20.9,3,6.966666666666666,-0.3827777997987841,2.885166660060365,20.09999439842054,186
30.46,2.0,Male,Yes,Sun,Dinner,5,30.46,5,6.0920000000000005,-0.6447991884005376,4.677600405799732,28.495941672131966,187
18.15,3.5,Female,Yes,Sun,Dinner,3,18.15,3,6.05,-0.6703494216439935,2.798895173506802,16.93331579971615,188
23.1,4.0,Male,Yes,Sun,Dinner,3,23.1,3,7.7,-0.9581477090995483,2.7125556872701355,20.886678791980042,189
15.69,1.5,Male,Yes,Sun,Dinner,2,15.69,2,7.845,-1.1068972321941009,1.7786205535611799,13.953278242687455,190
19.81,4.19,Female,Yes,Thur,Lunch,2,19.81,2,9.905,-0.3027842420466732,1.9394431515906654,19.21018441650554,191
28.44,2.56,Male,Yes,Thur,Lunch,2,28.44,2,14.22,-0.2995819428366695,1.940083611432666,27.587988954572513,192
15.48,2.02,Male,Yes,Thur,Lunch,2,15.48,2,7.74,-0.566898542726732,1.8866202914546535,14.602441055859018,193
16.58,4.0,Male,Yes,Thur,Lunch,2,16.58,2,8.29,-0.8609702089512993,1.8278059582097401,15.152511393558743,194
7.56,1.44,Male,No,Thur,Lunch,2,7.56,2,3.78,-0.8507904253873391,1.8298419149225322,6.916802438407172,195
10.34,2.0,Male,Yes,Thur,Lunch,2,10.34,2,5.17,-0.4740443211297606,1.9051911357740479,9.849838171951827,196
43.11,5.0,Female,Yes,Thur,Lunch,4,43.11,4,10.7775,-0.30288974004742286,3.878844103981031,41.80424233065556,197
13.0,2.0,Female,Yes,Thur,Lunch,2,13.0,2,6.5,-0.31291357573488265,1.9374172848530236,12.593212351544652,198
13.51,2.0,Male,Yes,Thur,Lunch,2,13.51,2,6.755,-0.4201244541423761,1.9159751091715247,12.94241186245365,199
18.71,4.0,Male,Yes,Thur,Lunch,3,18.71,3,6.236666666666667,-0.5579683538457122,2.8326094938462862,17.666041209954674,200
12.74,2.01,Female,Yes,Thur,Lunch,2,12.74,2,6.37,-1.115860035004951,1.7768279929990098,11.318394315403692,201
13.0,2.0,Female,Yes,Thur,Lunch,2,13.0,2,6.5,-1.0383712859053862,1.7923257428189228,11.650117328322999,202
16.4,2.5,Female,Yes,Thur,Lunch,2,16.4,2,8.2,-0.3014458114729207,1.939710837705416,15.90562886918441,203
20.53,4.0,Male,Yes,Thur,Lunch,4,20.53,4,5.1325,-0.59357094034041,3.762571623863836,19.31139885948114,204
16.47,3.23,Female,Yes,Thur,Lunch,3,16.47,3,5.489999999999999,-1.1908029483833702,2.642759115484989,14.508747544012587,205
26.59,3.41,Male,Yes,Sat,Dinner,3,26.59,3,8.863333333333333,-1.098528457133968,2.6704414628598094,23.669012832480778,206
38.73,3.0,Male,Yes,Sat,Dinner,4,38.73,4,9.6825,-0.5364982308919442,3.7854007076432223,36.6521423517555,207
24.27,2.03,Male,Yes,Sat,Dinner,2,24.27,2,12.135,-1.1949384161537813,1.7610123167692437,21.369884463994772,208
12.76,2.23,Female,Yes,Sat,Dinner,2,12.76,2,6.38,-1.0391919485825012,1.7921616102834999,11.433991073608729,209
30.06,2.0,Male,Yes,Sat,Dinner,3,30.06,3,10.02,-0.6512662106334138,2.8046201368099757,28.102293770835956,210
25.89,5.16,Male,Yes,Sat,Dinner,4,25.89,4,6.4725,-0.5081048023073067,3.7967580790770774,24.574516666826383,211
48.33,9.0,Male,No,Sat,Dinner,4,48.33,4,12.0825,-0.5480387404973994,3.78078450380104,45.68132876717607,212
13.27,2.5,Female,Yes,Sat,Dinner,2,13.27,2,6.635,-0.9757306905394402,1.804853861892112,11.975205373654163,213
28.17,6.5,Female,Yes,Sat,Dinner,3,28.17,3,9.39,-0.4878207786524641,2.853653766404261,26.79580886653601,214
12.9,1.1,Female,Yes,Sat,Dinner,2,12.9,2,6.45,-0.9627509125031999,1.80744981749936,11.658051322870874,215
28.15,3.0,Male,Yes,Sat,Dinner,5,28.15,5,5.63,-0.8746003018407322,4.5626998490796336,25.688000150318338,216
